Number,Type,Growth,URL
1,culture,knowledge,https://en.wikipedia.org/wiki/1968_Chicago_riots
2,culture,knowledge,https://en.wikipedia.org/wiki/American_Woman
3,culture,knowledge,https://en.wikipedia.org/wiki/Dean_Martin
4,culture,knowledge,https://en.wikipedia.org/wiki/Grateful_Dead
5,culture,knowledge,"https://en.wikipedia.org/wiki/Hi,_Bob"
6,culture,knowledge,https://en.wikipedia.org/wiki/Look_(American_magazine)
1,space,career,https://transastra.com/
2,space,career,https://wellfound.com/company/silicon-valley-space-center
3,space,hobby,https://www.seti.org/
4,space,life,https://wellfound.com/startups/industry/aerospace
1,technology,knowledge,https://literoflight.org/
1,zaviation,knowledge,https://en.wikipedia.org/wiki/Cavalier_Aircraft
2,zaviation,knowledge,https://en.wikipedia.org/wiki/North_American_T-6_Texan
3,zaviation,knowledge,https://en.wikipedia.org/wiki/Piper_J-3_Cub
4,zaviation,knowledge,https://en.wikipedia.org/wiki/Pitts_Special
